rank,name,age,source,country_citizenship,net_worth
1,Bill Gates,62,Microsoft,United States,86000000000.0
2,Warren Buffett,87,Berkshire Hathaway,United States,75600000000.0
3,Jeff Bezos,53,Amazon.com,United States,72800000000.0
4,Amancio Ortega,81,Zara,Spain,71300000000.0
5,Mark Zuckerberg,33,Facebook,United States,56000000000.0
6,Carlos Slim Helu,77,telecom,Mexico,54500000000.0
7,Larry Ellison,73,software,United States,52200000000.0
8,Charles Koch,82,diversified,United States,48300000000.0
8,David Koch,77,diversified,United States,48300000000.0
10,Michael Bloomberg,75,Bloomberg LP,United States,47500000000.0
11,Bernard Arnault,68,LVMH,France,41500000000.0
12,Larry Page,44,Google,United States,40700000000.0
13,Sergey Brin,44,Google,United States,39800000000.0
14,Liliane Bettencourt,95,L'Oreal,France,39500000000.0
15,S. Robson Walton,73,Wal-Mart,United States,34100000000.0
16,Jim Walton,69,Wal-Mart,United States,34000000000.0
17,Alice Walton,68,Wal-Mart,United States,33800000000.0
18,Wang Jianlin,63,real estate,China,31300000000.0
19,Li Ka-shing,89,diversified,Hong Kong,31200000000.0
20,Sheldon Adelson,84,casinos,United States,30400000000.0
21,Steve Ballmer,61,Microsoft,United States,30000000000.0
22,Jorge Paulo Lemann,78,beer,Brazil,29200000000.0
23,Jack Ma,53,e-commerce,China,28300000000.0
24,Beate Heister & Karl Albrecht Jr.,-100000,supermarkets,Germany,27200000000.0
24,David Thomson,60,media,Canada,27200000000.0
26,Jacqueline Mars,78,candy,United States,27000000000.0
26,John Mars,82,candy,United States,27000000000.0
28,Phil Knight,79,Nike,United States,26200000000.0
29,Maria Franca Fissolo,82,"Nutella, chocolates",Italy,25200000000.0
29,George Soros,87,hedge funds,United States,25200000000.0
31,Ma Huateng,46,internet media,China,24900000000.0
32,Lee Shau Kee,89,real estate,Hong Kong,24400000000.0
33,Mukesh Ambani,60,"petrochemicals, oil & gas",India,23200000000.0
34,Masayoshi Son,60,"internet, telecom",Japan,21200000000.0
35,Kjeld Kirk Kristiansen,69,Lego,Denmark,21100000000.0
36,Georg Schaeffler,53,automotive,Germany,20700000000.0
37,Joseph Safra,78,banking,Brazil,20500000000.0
38,Michael Dell,52,Dell computers,United States,20400000000.0
38,Susanne Klatten,55,"BMW, pharmaceuticals",Germany,20400000000.0
40,Len Blavatnik,60,diversified,United States,20000000000.0
40,Laurene Powell Jobs,54,"Apple, Disney",United States,20000000000.0
42,Paul Allen,64,"Microsoft, investments",United States,19900000000.0
43,Stefan Persson,70,H&M,Sweden,19600000000.0
44,"Theo Albrecht, Jr.",66,"Aldi, Trader Joe's",Germany,18800000000.0
45,Prince Alwaleed Bin Talal Alsaud,62,investments,Saudi Arabia,18700000000.0
46,Leonid Mikhelson,62,"gas, chemicals",Russia,18400000000.0
47,Charles Ergen,64,satellite TV,United States,18300000000.0
47,Stefan Quandt,51,BMW,Germany,18300000000.0
49,James Simons,79,hedge funds,United States,18000000000.0
50,Leonardo Del Vecchio,82,eyeglasses,Italy,17900000000.0
51,Alexey Mordashov,52,"steel, investments",Russia,17500000000.0
52,William Ding,46,online games,China,17300000000.0
53,Dieter Schwarz,78,retail,Germany,17000000000.0
54,Ray Dalio,68,hedge funds,United States,16800000000.0
55,Carl Icahn,81,investments,United States,16600000000.0
56,Lakshmi Mittal,67,steel,India,16400000000.0
57,Serge Dassault,92,diversified,France,16100000000.0
57,Vladimir Lisin,61,"steel, transport",Russia,16100000000.0
59,Gennady Timchenko,65,"oil, gas",Russia,16000000000.0
60,Wang Wei,47,package delivery,China,15900000000.0
60,Tadashi Yanai,68,fashion retail,Japan,15900000000.0
62,Charoen Sirivadhanabhakdi,73,"drinks, real estate",Thailand,15800000000.0
63,Francois Pinault,81,luxury goods,France,15700000000.0
64,Hinduja family,-100000,diversified,United Kingdom,15400000000.0
65,David & Simon Reuben,74,"investments, real estate",United Kingdom,15300000000.0
66,Donald Bren,85,real estate,United States,15200000000.0
66,Alisher Usmanov,64,"steel, telecom, investments",Russia,15200000000.0
68,Lee Kun-Hee,75,Samsung,South Korea,15100000000.0
69,Thomas & Raymond Kwok,-100000,real estate,Hong Kong,15000000000.0
69,Joseph Lau,66,real estate,Hong Kong,15000000000.0
69,Gina Rinehart,63,mining,Australia,15000000000.0
72,Azim Premji,72,software services,India,14900000000.0
73,Marcel Herrmann Telles,67,beer,Brazil,14800000000.0
74,Vagit Alekperov,67,oil,Russia,14500000000.0
75,Mikhail Fridman,53,"oil, banking, telecom",Russia,14400000000.0
75,Abigail Johnson,55,money management,United States,14400000000.0
77,Pallonji Mistry,88,construction,Ireland,14300000000.0
77,Vladimir Potanin,56,metals,Russia,14300000000.0
79,Wang Wenyin,49,"mining, copper products",China,14000000000.0
80,Elon Musk,46,Tesla Motors,United States,13900000000.0
80,Stefano Pessina,76,drugstores,Italy,13900000000.0
82,German Larrea Mota Velasco,64,mining,Mexico,13800000000.0
82,Thomas Peterffy,73,discount brokerage,United States,13800000000.0
84,Iris Fontbona,74,mining,Chile,13700000000.0
84,Dilip Shanghvi,62,pharmaceuticals,India,13700000000.0
86,Dietrich Mateschitz,73,Red Bull,Austria,13400000000.0
87,Harold Hamm,71,oil & gas,United States,13300000000.0
87,Robin Li,49,internet search,China,13300000000.0
